                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5311,                 1.7378,                  1.352,                  0.365,                    0.3,                0.26801,                0.11626,                 1.8211,                 4.0529,                 1.9202,              0.0017822,              0.0017822,              0.0017822
                     35,                  1.587,                 1.9167,                 1.5092,                0.43765,                    0.4,                0.38675,                0.16465,                 1.9903,                 4.2972,                 2.0692,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.4162,                 1.8601,                  1.373,                0.33648,                    0.7,                 0.4728,                0.13403,                 2.0798,                  5.145,                 1.9247,               0.001769,               0.001769,               0.001769
                     37,                 1.4294,                 1.6532,                 1.3693,                 0.3642,                    0.7,                 0.3353,                0.16923,                 2.0573,                 4.1644,                 1.9653,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.3889,                 1.5595,                 1.4348,                0.24834,                    0.5,                0.21843,                0.07576,                 2.5366,                 5.6292,                 2.3658,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.5602,                 1.5977,                 1.3553,                  0.241,                    0.6,                0.19726,                0.08031,                 2.3668,                 6.1378,                 2.3158,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.3745,                 1.7305,                 1.3617,                0.67687,                    0.4,                0.48023,                0.23048,                 1.9652,                 4.8236,                 1.8258,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.3315,                  1.619,                 1.3058,                0.34929,                    0.6,                 0.4415,                0.16667,                 1.9382,                 4.5447,                  1.967,               0.001736,               0.001736,               0.001736
                     42,                  1.538,                 1.6663,                 1.3449,                0.42476,                    0.5,                0.36018,                0.20738,                 1.9037,                 4.1443,                 1.9855,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.3859,                 1.5527,                 1.2692,                0.36756,                    0.6,                0.28182,                0.11643,                 2.0679,                 4.1726,                 2.0078,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.3462,                   1.34,                 1.2173,                0.47488,                    0.3,                  0.382,                0.12619,                 2.2035,                 4.2462,                 2.1141,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.3524,                 1.3796,                 1.2235,                0.54499,                    0.3,                0.31533,                0.08411,                 2.1795,                 4.1776,                 2.0119,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.4419,                 1.4454,                 1.3352,                0.25718,                    0.4,                0.24773,                0.06338,                 2.0728,                 4.1791,                 1.8195,               0.001703,               0.001703,               0.001703
                     47,                 1.5341,                 1.6095,                 1.3826,                0.20169,                    0.5,                0.14786,                0.04629,                 2.1892,                 4.0566,                 1.9394,              0.0016964,              0.0016964,              0.0016964
